Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP22(19)-200mm039US+FS-100mm036_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.1127,,,,X,01.03.2022,2397,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP22(19)-200mm039US+FS-100mm036_ohne Foamglas mit SD_Ausgleichsstein PPW4_Streifenfundament(40cm),0.1218,,,,X,01.03.2022,2397,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-060mm035US+FS_ohne Foamglas +ohne SD,0.0722,,,,X,06.04.2018,1475,86140,Rodiek,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-060mm035US_EH40_ohne Foamglas + SD_Ausgleichsstein PPW4_Streifenfundament(30cm),0.0541,,,,X,29.03.2023,2556,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-060mm035US+FS_mit 6 cm Foamglas052 mit SD_Ausgleichsstein PPW4,0.0048,,,,X,20.05.2021,2178,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-060mm035US_rel Länge ab OKRF_Ohne Foamglas+SD_Sockel mit Streifenfundament_(42cm Schalungsstein),-0.0005,,,,X,20.05.2021,2178,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-140mm036US+100mmFS036_EH40_mit 5cm Foamglas 058 mit SD_Ausgleichsstein PPW4,0.0367,,,,X,12.09.2023,2593,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-200mm037US+FS-100mm036_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1687,,,,X,06.05.2020,1984,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-200mm037US_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4_Streifenfundament,0.1639,,,,X,06.05.2020,1984,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-200mm039US+FS-100mm036_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1643,,,,X,27.05.2020,1990,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-200mm039US_ohne Foamglas_ohne SD_Sockel mit Streifenfundament,0.0815,,,,X,05.07.2017,1276,85415,Düser,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP25(19)-200mm041US_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4_Streifenfundament(40cm),0.1546,,,,X,14.01.2022,2363,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-060mm035US+FS_ohne Foamglas +ohne SD,0.0836,,,,X,03.08.2018,1541,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-060mm035US+FS_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.0521,,,,X,16.08.2022,2471,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-100mm036US_ohne FS ohne SD_ohne Foamglas,0.1239,,,,X,13.09.2016,868,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-120mm036US_ohne FS-ohneSD-OhneFoamglas,0.0140,,,,X,09.05.2016,682,,???????????,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-140mm036US_ohne FS mit SD,0.0888,,,,X,19.04.2016,648,84509,Paulini,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-140mm036US_ohne FS mit SD,0.0354,,,,X,29.04.2016,669,,FP ohne FS,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-140mm036US_ohne FS ohne SD_ohne Foamglas,0.1536,,,,X,22.06.2017,1257,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP30(19)-200mm039US+FS-100mm036_ohne Foamglas + SD,0.1726,,,,X,13.12.2017,1404,,,,,
